,AGE,SEX,EDUC,INCOME,KIDHOME,TEENHOME,GOURMAGS,WINEMAGS,STYLMAGS,HOUSMAGS,SPRTMAGS,TRAVMAGS,CULTMAGS,COMPMAGS,FIRSTPUR,LASTPUR,NPURCH,TBOTTLES,TOTCAT,TOTCREV,TOTCCOST,TOTCPROF,REV1STYR,REVLSTYR,COSTLAST,LTV,PROBSTAY,AVGPURCH,AVGDISC,AVGQUAL,PCTWEB,PERCDR,PERCSR,PERCDW,PERCSW,PERCDE,PERCEX,TOTLCOMP,TOTWCOMP,TOTPCOMM,FACEBOOK
TOTCPROF,0.26928308,-0.002391443,0.0061789,0.398961663,-0.204338762,-0.132697946,0.390636992,0.233661365,0.228223265,0.235053078,0.194991445,0.186552945,0.062310788,0.031824445,0.166078445,-0.19683962,0.675766022,0.789356158,0.165213545,0.867233348,0.802642584,,0.714426738,0.797756103,0.739400898,0.931309385,0.261407334,0.591089248,-0.349895942,0.305779359,0.065833917,-0.045312801,0.08932329,0.09058337,-0.08541382,-0.007370725,0.106743839,0.181585383,0.19152162,-0.108821132,-0.121977941
REV1STYR,0.337387029,0.004981491,-0.007827376,0.465195013,-0.260242465,-0.16456057,0.375590503,0.249562914,0.25928504,0.220067425,0.166244604,0.217732179,0.074679767,0.010185659,0.100361278,-0.272825145,0.703136018,0.786766097,0.099529328,0.808106503,0.799280529,0.714426738,,0.810474208,0.802646571,0.695650528,0.272094144,0.623133814,-0.268878726,0.365853277,0.033358052,-0.044908322,0.124201284,0.069304603,-0.109592652,-0.011266814,0.094889641,0.198938462,0.216240379,0.014689349,-0.112286651
REVLSTYR,0.382945951,0.006565985,-0.003659966,0.519545015,-0.297715262,-0.189855513,0.424894869,0.27710973,0.293587487,0.248952786,0.180532703,0.24594971,0.080272094,0.016844266,0.211410992,-0.33440974,0.818836098,0.886729929,0.210703261,0.907744296,0.898954186,0.797756103,0.810474208,,0.992691229,0.87584701,0.408997973,0.686423838,-0.299612571,0.412123656,0.038232051,-0.058384131,0.148025047,0.077943204,-0.121009234,-0.013259618,0.10731396,0.243735728,0.251724866,0.02044922,-0.128970176
COSTLAST,0.385050115,0.007735576,-0.002373661,0.518955142,-0.301586798,-0.192243516,0.407428984,0.272557337,0.291416348,0.235684692,0.16694231,0.247385266,0.081275602,0.01555656,0.229988246,-0.346616196,0.837305009,0.894628858,0.229370152,0.902398966,0.906337607,0.739400898,0.802646571,0.992691229,,0.814089697,0.432793249,0.668575432,-0.267221212,0.412884526,0.037607373,-0.057688953,0.153472205,0.069785358,-0.122549909,-0.014174137,0.100102261,0.255803509,0.26314407,0.05104781,-0.121481009
LTV,0.30324539,-0.000347137,-0.008214599,0.426318221,-0.226384232,-0.145486851,0.411863762,0.242785542,0.246438753,0.252184361,0.200512637,0.193852796,0.060591185,0.018571839,0.139303347,-0.218188008,0.650114159,0.750577321,0.13860149,0.820991401,0.76347583,0.931309385,0.695650528,0.87584701,0.814089697,,0.271376839,0.628031862,-0.361498932,0.33282327,0.032761904,-0.050662887,0.101323165,0.09318912,-0.092911984,-0.007397402,0.113064585,0.169847293,0.176018999,-0.103328553,-0.133054659
PROBSTAY,0.249072945,0.007544372,0.003789194,0.275370488,-0.227413974,-0.149729427,0.197134411,0.159964223,0.145903024,0.11152621,0.073037546,0.141453389,0.056949028,-0.006905896,0.611846084,-0.519659655,0.592154359,0.486208338,0.61311914,0.435811777,0.460320277,0.261407334,0.272094144,0.408997973,0.432793249,0.271376839,,0.270052346,-0.181737213,0.259435923,0.013473171,-0.041665272,0.097070931,0.044789561,-0.070661514,-0.007930967,0.06704783,0.181262179,0.170291547,0.160073405,-0.065634854
AVGPURCH,0.547741422,0.001119162,-0.008945282,0.689209314,-0.44075311,-0.278194485,0.575566354,0.381852866,0.38251555,0.339467844,0.264232035,0.341211119,0.118041619,0.021840748,-0.003822723,-0.39231108,0.520898225,0.583176674,-0.004119111,0.614891658,0.596958835,0.591089248,0.623133814,0.686423838,0.668575432,0.628031862,0.270052346,,-0.574609326,0.685869258,0.036548684,-0.023563033,0.169457911,0.131084053,-0.220848199,-0.020878145,0.152794891,0.156545014,0.160437637,-0.035311339,-0.206795367
AVGDISC,-0.374627787,0.00250478,0.005299655,-0.436021018,0.335491551,0.218167926,-0.44560659,-0.273773401,-0.25594182,-0.28633841,-0.243014537,-0.221362091,-0.074168482,-0.010120066,0.000247633,0.254650864,-0.24458763,-0.245410701,0.000121705,-0.266381511,-0.236445864,-0.349895942,-0.268878726,-0.299612571,-0.267221212,-0.361498932,-0.181737213,-0.574609326,,-0.465105108,-0.014464193,-0.005543605,-0.022777823,-0.234490942,0.179164194,-0.007915744,-0.239279115,-0.07311461,-0.077501582,0.061278298,0.160614905
AVGQUAL,0.329251387,0.006218356,-0.01106984,0.388120704,-0.291136279,-0.178673504,0.408252971,0.397423439,0.216091994,0.188206463,0.14521923,0.208929078,0.071302982,0.014562441,0.002498734,-0.366951144,0.370824731,0.335348337,0.002823419,0.367189507,0.367631151,0.305779359,0.365853277,0.412123656,0.412884526,0.33282327,0.259435923,0.685869258,-0.465105108,,0.015498826,-0.005148355,0.294785241,0.104496379,-0.366454755,-0.030536667,0.177046003,0.113726972,0.111808712,0.013117939,-0.035234312
PCTWEB,-0.119975986,0.000960478,0.387638896,0.078701195,0.067427774,0.021503497,0.079477368,0.13805517,0.030399093,0.0136059,-0.000652057,0.111222159,0.180728515,0.349227571,-0.008211545,-0.02814236,0.019702795,0.030870338,-0.008225184,0.03271949,0.023642483,0.065833917,0.033358052,0.038232051,0.037607373,0.032761904,0.013473171,0.036548684,-0.014464193,0.015498826,,0.004612832,-0.000393586,-0.007258124,-0.000477259,-0.001642565,-0.001428209,0.043848947,0.046899139,-0.007221402,-0.002110055
PERCDR,-0.034101373,-0.005965116,0.002287309,-0.047264153,0.037588243,0.021599018,-0.058933655,-0.073336218,-0.031393347,-0.031239325,-0.013378711,-0.017681885,0.004726531,0.006994678,0.005596828,0.068965936,-0.060591753,-0.054107694,0.00590845,-0.052828611,-0.052580669,-0.045312801,-0.044908322,-0.058384131,-0.057688953,-0.050662887,-0.041665272,-0.023563033,-0.005543605,-0.005148355,0.004612832,,-0.536665622,-0.245306257,-0.426052727,-0.322653339,-0.275156455,-0.015658782,-0.01455175,0.023295771,0.162299016
PERCSR,0.094688878,0.005610425,-0.008158555,0.110663015,-0.088950025,-0.050395343,0.123029846,0.15452704,0.062509186,0.040871874,0.018959547,0.053915656,0.010138843,0.002808438,-0.005491646,-0.144756945,0.142827755,0.125304173,-0.005341711,0.132386231,0.137488587,0.08932329,0.124201284,0.148025047,0.153472205,0.101323165,0.097070931,0.169457911,-0.022777823,0.294785241,-0.000393586,-0.536665622,,-0.087625462,-0.218284495,-0.132309372,0.127066242,0.036675592,0.043738172,0.001807414,-0.082148246
PERCDW,0.088677783,0.006304594,0.001824033,0.106583669,-0.073765889,-0.058333055,0.120367732,0.075232946,0.0635319,0.075782749,0.066684168,0.053417247,0.016745975,0.000479301,-0.001803753,-0.061951208,0.065021699,0.064900833,-0.001661119,0.069740857,0.062144961,0.09058337,0.069304603,0.077943204,0.069785358,0.09318912,0.044789561,0.131084053,-0.234490942,0.104496379,-0.007258124,-0.245306257,-0.087625462,,-0.101632529,-0.059104942,0.192497394,0.018957247,0.018825707,-0.022447858,-0.081510258
PERCSW,-0.100477574,-0.002652702,0.003581811,-0.115206239,0.080994393,0.052618645,-0.123962758,-0.10854698,-0.062492878,-0.047523468,-0.046737487,-0.060366181,-0.021148699,-0.008602672,0.000138723,0.093223634,-0.105861089,-0.096230308,-0.000658891,-0.107895793,-0.10907373,-0.08541382,-0.109592652,-0.121009234,-0.122549909,-0.092911984,-0.070661514,-0.220848199,0.179164194,-0.366454755,-0.000477259,-0.426052727,-0.218284495,-0.101632529,,-0.110936238,0.06513224,-0.029507214,-0.034729788,-0.015529873,-0.052867117
PERCDE,-0.014312382,0.001293985,0.001768443,-0.00790242,0.013124922,0.011207276,-0.004226806,-0.009583968,-0.001704974,0.000826517,0.006043739,-0.009402575,-0.009287357,-0.006483305,-0.000390317,0.012136464,-0.010732797,-0.009552691,-0.000257905,-0.011227232,-0.011708162,-0.007370725,-0.011266814,-0.013259618,-0.014174137,-0.007397402,-0.007930967,-0.020878145,-0.007915744,-0.030536667,-0.001642565,-0.322653339,-0.132309372,-0.059104942,-0.110936238,,0.090176848,-0.001087274,-0.006827112,-0.007807716,-0.04851954
PERCEX,0.10933723,0.00640033,-0.006638095,0.137106981,-0.100115591,-0.065857631,0.135017436,0.089211546,0.08255894,0.087780138,0.070476254,0.053243485,0.018764724,0.003940526,-0.009545345,-0.108296942,0.093928893,0.089969875,-0.009431175,0.094377105,0.087839869,0.106743839,0.094889641,0.10731396,0.100102261,0.113064585,0.06704783,0.152794891,-0.239279115,0.177046003,-0.001428209,-0.275156455,0.127066242,0.192497394,0.06513224,0.090176848,,0.019789899,0.032296319,-0.019132986,-0.078967604
TOTLCOMP,0.105599456,0.002032086,0.106542474,0.133814096,-0.091494329,-0.05639072,0.116408172,0.114708036,0.077650629,0.063897989,0.032878468,0.094823438,0.069532418,0.007621169,0.133340676,-0.115095863,0.300709144,0.281208995,0.133451631,0.273271889,0.284464484,0.181585383,0.198938462,0.243735728,0.255803509,0.169847293,0.181262179,0.156545014,-0.07311461,0.113726972,0.043848947,-0.015658782,0.036675592,0.018957247,-0.029507214,-0.001087274,0.019789899,,0.110288962,0.036818313,-0.033224726
TOTWCOMP,0.114501355,-0.000673656,0.100368487,0.142148559,-0.087854051,-0.056513423,0.138890621,0.11934125,0.072657924,0.062370928,0.040804339,0.103399701,0.071957456,0.025664523,0.124506408,-0.113651096,0.301359644,0.283592975,0.124484906,0.276326867,0.285776677,0.19152162,0.216240379,0.251724866,0.26314407,0.176018999,0.170291547,0.160437637,-0.077501582,0.111808712,0.046899139,-0.01455175,0.043738172,0.018825707,-0.034729788,-0.006827112,0.032296319,0.110288962,,0.031919286,-0.035462439
TOTPCOMM,0.041707317,0.008250938,-0.013074108,0.030944431,-0.041995631,-0.021100158,-0.04403179,-0.03017736,0.007730329,-0.021289445,-0.029685511,0.025503961,0.00787771,-0.002782605,0.12829127,-0.087413684,0.136514555,0.091582392,0.128705597,0.037854853,0.071057896,-0.108821132,0.014689349,0.02044922,0.05104781,-0.103328553,0.160073405,-0.035311339,0.061278298,0.013117939,-0.007221402,0.023295771,0.001807414,-0.022447858,-0.015529873,-0.007807716,-0.019132986,0.036818313,0.031919286,,0.134732237
FACEBOOK,-0.115318342,0.00481023,0.004055911,-0.137644851,0.110674713,0.075065066,-0.153698459,-0.138094347,-0.064606645,-0.072856615,-0.067550176,-0.059104597,-0.023843078,-0.005550047,6.91E-05,0.088446143,-0.107573176,-0.10354385,0.000957246,-0.113881311,-0.107605867,-0.121977941,-0.112286651,-0.128970176,-0.121481009,-0.133054659,-0.065634854,-0.206795367,0.160614905,-0.035234312,-0.002110055,0.162299016,-0.082148246,-0.081510258,-0.052867117,-0.04851954,-0.078967604,-0.033224726,-0.035462439,0.134732237,
